Age,Gender,Fitness-Level,Health Condition,Fitness Goal,Calories Intake,BMI,Exercise,Exercise Recommended
25,Male,Intermediate,Good,Weight Loss,2000,24.5,Cardio,Plank
30,Female,Advanced,Excellent,Muscle Gain,2500,21.0,Strength Training,Right arm biceps curl
35,Male,Beginner,Fair,General Fitness,1800,28.0,Cardio,Squats
40,Female,Intermediate,Good,Weight Loss,2000,26.3,Cardio,Left arm biceps curl
45,Male,Advanced,Excellent,Muscle Gain,2500,22.1,Strength Training,Both arms biceps curl
28,Female,Beginner,Good,General Fitness,1800,25.0,Cardio,Plank
32,Male,Intermediate,Excellent,Muscle Gain,2500,23.8,Strength Training,Crunches
37,Female,Beginner,Fair,Weight Loss,1900,27.4,Cardio,Squats
42,Male,Advanced,Good,General Fitness,2200,24.9,Cardio,Left arm biceps curl
27,Female,Intermediate,Excellent,Weight Loss,2000,22.7,Cardio,Both arms biceps curl
30,Male,Advanced,Good,Muscle Gain,2300,25.5,Strength Training,Plank
35,Female,Beginner,Fair,General Fitness,1900,29.8,Cardio,Right arm biceps curl
40,Male,Intermediate,Excellent,Weight Loss,2100,26.0,Cardio,Plank
45,Female,Advanced,Good,Muscle Gain,2400,23.3,Strength Training,Crunches
28,Male,Beginner,Fair,General Fitness,1700,30.2,Cardio,Squats
32,Female,Intermediate,Excellent,Weight Loss,2200,24.6,Cardio,Left arm biceps curl
37,Male,Advanced,Good,Muscle Gain,2600,22.4,Strength Training,Both arms biceps curl
42,Female,Beginner,Good,General Fitness,2000,27.7,Cardio,Plank
27,Male,Intermediate,Excellent,Weight Loss,1900,23.0,Cardio,Crunches
30,Female,Advanced,Good,Muscle Gain,2400,25.8,Strength Training,Right arm biceps curl
35,Male,Beginner,Fair,General Fitness,1800,28.5,Cardio,Squats
40,Female,Intermediate,Excellent,Weight Loss,2100,26.8,Cardio,Plank
45,Male,Advanced,Good,Muscle Gain,2500,22.8,Strength Training,Both arms biceps curl
28,Female,Beginner,Good,General Fitness,1700,29.0,Cardio,Left arm biceps curl
32,Male,Intermediate,Excellent,Weight Loss,2000,25.2,Cardio,Plank
37,Female,Advanced,Good,Muscle Gain,2300,23.6,Strength Training,Crunches
42,Male,Beginner,Fair,General Fitness,1900,30.5,Cardio,Squats
27,Female,Intermediate,Excellent,Weight Loss,2200,24.3,Cardio,Left arm biceps curl
30,Male,Advanced,Good,Muscle Gain,2400,25.0,Strength Training,Both arms biceps curl
35,Female,Beginner,Fair,General Fitness,1800,28.9,Cardio,Plank
40,Male,Intermediate,Excellent,Weight Loss,2200,26.5,Cardio,Crunches
45,Female,Advanced,Good,Muscle Gain,2600,22.0,Strength Training,Right arm biceps curl
28,Male,Beginner,Good,General Fitness,1800,29.8,Cardio,Squats
32,Female,Intermediate,Excellent,Weight Loss,2100,25.5,Cardio,Plank
37,Male,Advanced,Good,Muscle Gain,2400,23.3,Strength Training,Both arms biceps curl
42,Female,Beginner,Fair,General Fitness,2000,28.2,Cardio,Left arm biceps curl
27,Male,Intermediate,Excellent,Weight Loss,2000,23.5,Cardio,Plank
30,Female,Advanced,Good,Muscle Gain,2500,24.2,Strength Training,Crunches
35,Male,Beginner,Fair,General Fitness,1900,30.0,Cardio,Squats
40,Female,Intermediate,Excellent,Weight Loss,2300,26.0,Cardio,Plank
45,Male,Advanced,Good,Muscle Gain,2600,22.5,Strength Training,Right arm biceps curl
28,Female,Beginner,Good,General Fitness,1700,28.5,Cardio,Both arms biceps curl
32,Male,Intermediate,Excellent,Weight Loss,2100,24.8,Cardio,Plank
37,Female,Advanced,Good,Muscle Gain,2400,23.0,Strength Training,Crunches
42,Male,Beginner,Fair,General Fitness,1800,29.0,Cardio,Squats
27,Female,Intermediate,Excellent,Weight Loss,2200,25.2,Cardio,Left arm biceps curl
30,Male,Advanced,Good,Muscle Gain,2500,23.8,Strength Training,Both arms biceps curl
35,Female,Beginner,Fair,General Fitness,1900,30.2,Cardio,Plank
40,Male,Intermediate,Excellent,Weight Loss,2300,26.3,Cardio,Crunches
45,Female,Advanced,Good,Muscle Gain,2600,22.3,Strength Training,Right arm biceps curl
28,Female,Beginner,Good,General Fitness,1800,29.0,Cardio,Both arms biceps curl
32,Male,Intermediate,Excellent,Weight Loss,2100,24.8,Cardio,Plank
37,Female,Advanced,Good,Muscle Gain,2400,23.0,Strength Training,Crunches
42,Male,Beginner,Fair,General Fitness,1800,29.0,Cardio,Squats
